_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,image_broken,image_broken:confidence,true_or_false,true_or_false:confidence,image_broken_gold,image_url1,image_url2,name_1,name_2,true_or_false_gold
613817588,true,golden,570,,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/apple_3.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/onion_4.png,jonathan apple,root,false
613817589,true,golden,641,,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/lemon_6.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/pear_7.png,citrus fruit,asian pear,false
613817590,true,golden,586,,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/peach_2.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/tomato_5.png,gala apple,sandwhich,false
613817591,false,finalized,8,11/30/14 14:11,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/tomato_8.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/garlic_3.png,garden tomato,allium,
613817592,false,finalized,8,11/30/14 4:33,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/peach_1.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/greens_4.png,seed,bok choy,
613817593,false,finalized,8,11/30/14 5:54,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/bell_pepper_4.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/mushroom_3.png,sweet pepper,bulb,
613817594,false,finalized,8,12/1/14 21:21,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/pear_7.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/mushroom_1.png,asian pear,mushroom,
613817595,false,finalized,10,11/30/14 0:18,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/peach_1.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/garlic_5.png,seed,shallots,
613817596,true,golden,559,,,1,true,0.9245,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/orange_2.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/banana_4.png,apple,food,true
613817597,false,finalized,8,11/30/14 5:17,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/greens_1.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/onion_4.png,lettuce,sweet onion,
613817598,false,finalized,8,11/30/14 12:57,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/tomato_5.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/peach_3.png,sandwhich,peach,
613817599,false,finalized,8,11/30/14 5:15,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/orange_2.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/lime_3.png,orange,lemon,
613817600,false,finalized,8,12/2/14 4:06,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/greens_3.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/potato_2.png,cabbage,tuber,
613817601,false,finalized,8,11/30/14 3:01,,1,false,0.7583,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/greens_4.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/peach_1.png,greens,seed,
613817602,false,finalized,8,11/30/14 5:16,,1,false,0.7465,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/garlic_6.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/onion_1.png,skins,vegetable,
613817603,false,finalized,9,11/30/14 1:15,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/orange_2.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/pear_7.png,orange,asian pear,
613817604,false,finalized,9,11/30/14 3:18,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/garlic_4.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/bell_pepper_4.png,onion,sweet pepper,
613817605,false,finalized,8,11/30/14 13:47,,1,false,1,,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/tomato_2.png,http://homes.cs.washington.edu/~sunyuyin/crowdflowerdata/potato_2.png,plum tomato,root vegetable,
