_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,true_or_false,true_or_false:confidence,concept_1,concept_2,true_or_false_gold
691912132,false,finalized,8,3/19/15 4:54,false,1,a brief history of time, actor,
691912133,false,finalized,8,3/19/15 4:40,false,1,a brief history of time, aircraft,
691912134,false,finalized,8,3/19/15 7:06,false,1,a brief history of time, artist,
691912135,false,finalized,8,3/19/15 11:33,false,1,a brief history of time, author,
691912136,false,finalized,8,3/19/15 4:32,false,1,a brief history of time, basketball player,
691912137,false,finalized,8,3/19/15 8:14,false,1,a brief history of time, boat,
691912138,true,golden,536,,true,0.9205,a brief history of time, book,true
691912139,false,finalized,8,3/19/15 10:26,false,1,a brief history of time, car,
691912140,false,finalized,8,3/19/15 6:57,false,1,a brief history of time, city,
691912141,false,finalized,8,3/19/15 9:13,false,1,a brief history of time, country,
691912142,false,finalized,8,3/19/15 8:21,false,0.7489,a brief history of time, creative work,
691912143,false,finalized,8,3/19/15 4:27,false,1,a brief history of time, director,
691912144,false,finalized,8,3/19/15 9:16,false,1,a brief history of time, disease,
691912145,false,finalized,8,3/19/15 5:58,false,1,a brief history of time, film,
691912146,false,finalized,8,3/19/15 8:54,false,1,a brief history of time, football player,
691912147,false,finalized,8,3/19/15 4:32,false,1,a brief history of time, island,
691912148,false,finalized,8,3/19/15 4:04,false,1,a brief history of time, location,
691912149,false,finalized,8,3/19/15 6:38,false,1,a brief history of time, magazine,
691912150,false,finalized,8,3/19/15 5:22,false,1,a brief history of time, military person,
691912151,false,finalized,8,3/19/15 9:20,false,1,a brief history of time, monarch,
691912152,false,finalized,8,3/21/15 0:19,false,1,a brief history of time, musician,
691912153,false,finalized,8,3/19/15 5:31,false,1,a brief history of time, newspaper,
691912154,true,golden,443,,false,1,a brief history of time, organization founder,false
691912155,false,finalized,8,3/19/15 11:24,false,1,a brief history of time, person,
691912156,false,finalized,8,3/19/15 4:44,false,1,a brief history of time, planet,
691912157,false,finalized,8,3/19/15 4:04,false,1,a brief history of time, politician,
691912158,false,finalized,8,3/19/15 5:56,false,1,a brief history of time, pro athlete,
691912159,false,finalized,8,3/19/15 11:08,false,1,a brief history of time, religion,
691912160,false,finalized,8,3/19/15 4:30,false,1,a brief history of time, religious leader,
691912161,false,finalized,8,3/19/15 4:13,false,1,a brief history of time, river,
691912162,false,finalized,8,3/19/15 7:38,false,1,a brief history of time, truck,
691912163,false,finalized,8,3/19/15 10:29,false,0.7471,a brief history of time, tv program,
691912164,false,finalized,8,3/19/15 4:23,false,1,a brief history of time, vehicle,
